Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Armenia,ARM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.199999999,0.2,7.500000002,5.2,7.599999999
Armenia,ARM,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,184127986.3,333823945.5,252747990.7,266855048.8,100287214.4
Armenia,ARM,Total tax and contribution rate (% of profit),IC.TAX.TOTL.CP.ZS,20,18.5,18.5,18.5,22.6
Armenia,ARM,Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,69.1418,70.63154,71.49433,73.19187,74.49401
Azerbaijan,AZE,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.024563819,1.595721573,1.721154802,1.700016667,1.7
Azerbaijan,AZE,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1.44146E+11,1.4023E+11,1.39153E+11,1.44636E+11,1.50911E+11
Azerbaijan,AZE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,14938.40113,14371.02274,14121.40694,14551.20011,15054.54461
Azerbaijan,AZE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.093975916,-3.09999988,0.199999939,1.5,2.500000067
Azerbaijan,AZE,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,4047630000,4499666000,2867487000,1402998000,1503918000
Azerbaijan,AZE,Total tax and contribution rate (% of profit),IC.TAX.TOTL.CP.ZS,39.8,39.8,39.8,41.2,40.7
Azerbaijan,AZE,Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,65.7606,64.56339,67.13946,73.8979,78.50823
Bangladesh,BGD,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,77.94690833,78.46809167,80.43754167,83.46620192,84.4535225
Bangladesh,BGD,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,6.65525E+11,7.28388E+11,7.8159E+11,8.58963E+11,9.4329E+11
Bangladesh,BGD,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,4216.719739,4558.563895,4830.776291,5247.694696,5699.078134
Bangladesh,BGD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.552639878,7.113478213,6.590254815,7.31940778,7.881906729
Bangladesh,BGD,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,2831152765,2332724781,1810395804,2421626238,1908045387
Bangladesh,BGD,Total tax and contribution rate (% of profit),IC.TAX.TOTL.CP.ZS,34.4,34.4,33.4,33.4,33.4
